step,allocation,hazard,hazard_threshold,fallback_triggered
0,183,0.6,0.0165,True
1,183,0.0,0.0165,False
2,183,0.0,0.0165,False
3,183,0.0,0.0165,False
4,183,0.0,0.0165,False
5,183,0.0,0.0165,False
6,183,0.0,0.0165,False
7,183,0.0,0.0165,False
8,183,0.0,0.0165,False
9,183,0.0,0.0165,False
10,183,0.0,0.0165,False
11,183,0.0,0.0165,False
12,183,0.0,0.0165,False
13,183,0.0,0.0165,False
14,183,0.0,0.0165,False
15,183,0.0,0.0165,False
16,183,0.0,0.0165,False
17,183,0.0,0.0165,False
18,183,0.0,0.0165,False
19,183,0.0,0.0165,False
20,183,0.0,0.0165,False
21,183,0.0,0.0165,False
22,183,0.0,0.0165,False
23,183,0.0,0.0165,False
24,183,0.0,0.0165,False
25,183,0.0,0.0165,False
26,183,0.0,0.0165,False
27,183,0.0,0.0165,False
28,183,0.0,0.0165,False
29,183,0.0,0.0165,False
30,183,0.0,0.0165,False
31,183,0.0,0.0165,False
32,183,0.0,0.0165,False
33,183,0.0,0.0165,False
34,183,0.0,0.0165,False
35,183,0.0,0.0165,False
36,183,0.0,0.0165,False
37,183,0.0,0.0165,False
38,183,0.0,0.0165,False
39,183,0.0,0.0165,False
40,183,0.0,0.0165,False
41,183,0.0,0.0165,False
42,183,0.0,0.0165,False
43,183,0.0,0.0165,False
44,183,0.0,0.0165,False
45,183,0.0,0.0165,False
46,183,0.0,0.0165,False
47,183,0.0,0.0165,False
48,183,0.0,0.0165,False
49,183,0.0,0.0165,False
50,183,0.0,0.0165,False
51,183,0.0,0.0165,False
52,183,0.0,0.0165,False
53,183,0.0,0.0165,False
54,183,0.0,0.0165,False
55,183,0.0,0.0165,False
56,183,0.0,0.0165,False
57,183,0.0,0.0165,False
58,183,0.0,0.0165,False
59,183,0.0,0.0165,False
